brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,vehicle_age,price_per_mile,is_luxury,high_mileage,age_group
Lexus,GX 460 Premium,2017,82000,Gasoline,301.0,A/T,Gray,Brown,None reported,Yes,32900,9,0.40121461933391056,1,0,Moderate
Porsche,Panamera Edition,2016,60000,Gasoline,310.0,A/T,Gray,Black,None reported,Yes,45000,10,0.7499875002083298,1,0,Moderate
Cadillac,Escalade ESV Platinum,2017,93971,Gasoline,420.0,A/T,White,Beige,None reported,Yes,47000,9,0.5001489805473971,0,0,Moderate
Lexus,IS 350 Base,2015,62600,Gasoline,306.0,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,27500,11,0.4392901071867861,1,0,Old
Mercedes-Benz,E-Class E 350 4MATIC,2014,84450,Gasoline,302.0,7-Speed A/T,Gray,Beige,None reported,Yes,19000,12,0.22498253425063056,1,0,Old
Audi,Q5 S line Premium,2022,18099,Hybrid,2.0,Automatic,Daytona Gray,Gray,None reported,Yes,40798,4,2.2540331491712706,1,0,New
Mercedes-Benz,E-Class E 350 4MATIC,2014,76500,Gasoline,302.0,7-Speed A/T,Silver,Black,None reported,Yes,17999,12,0.23527797022261146,1,0,Old
Chevrolet,Camaro 1LT,2017,74000,Gasoline,275.0,A/T,Yellow,Black,None reported,Yes,19800,9,0.2675639518384887,0,0,Moderate
RAM,1500 Laramie,2022,15607,Gasoline,5.7,8-Speed Automatic,Billet Silver Metallic Clearcoat,Black,None reported,Yes,45999,4,2.947142491030241,0,0,New
Chevrolet,Silverado 1500 1LZ,2014,111095,E85 Flex Fuel,355.0,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,26000,12,0.23403182832865269,0,1,Old
Toyota,Camry Solara SLE,2007,37216,Gasoline,210.0,A/T,Red,Beige,At least 1 accident or damage reported,Yes,14995,19,0.4029072735577827,0,0,Old
Jaguar,F-TYPE S,2015,25786,Gasoline,380.0,8-Speed A/T,Blue,Gray,None reported,Yes,38500,11,1.4930003490130686,1,0,Old
Jeep,Gladiator Sport,2021,15520,Gasoline,3.6,8-Speed Automatic,Sting Gray Clearcoat,Black,None reported,Yes,40459,5,2.606726370723536,0,0,New
RAM,1500 Big Horn,2021,49583,Gasoline,5.7,8-Speed Automatic,Billet Silver Metallic Clearcoat,Black,None reported,Yes,42816,5,0.8635043562439496,0,0,New
Porsche,Cayenne Diesel,2015,97300,Diesel,240.0,8-Speed A/T,Black,Black,None reported,Yes,29995,11,0.30827021305022556,1,0,Old
Chevrolet,Camaro Base,2002,89000,Gasoline,200.0,A/T,Silver,Black,None reported,Yes,10400,24,0.11685261963348727,0,0,Very Old
Porsche,Cayenne S,2015,52111,Gasoline,420.0,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,37500,11,0.7196039299969297,1,0,Old
Dodge,Challenger R/T Scat Pack,2019,75800,Gasoline,6.4,Automatic,Gray,Black,None reported,Yes,35998,7,0.4749013865252437,0,0,Moderate
Lexus,ES 350 Base,2010,113500,Gasoline,272.0,A/T,Red,Beige,At least 1 accident or damage reported,Yes,11000,16,0.0969154456788927,1,1,Old
Audi,Q3 2.0T Premium Plus,2015,155382,Gasoline,200.0,A/T,Brown,Gray,At least 1 accident or damage reported,Yes,13500,11,0.08688209134847441,1,1,Old
Mercedes-Benz,E-Class E 550,2016,49643,Gasoline,402.0,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,33995,10,0.6847756022882926,1,0,Moderate
BMW,650 i xDrive,2015,76474,Gasoline,445.0,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,32000,11,0.41843739784243217,1,0,Old
Porsche,Cayman Base,2016,10431,Gasoline,275.0,7-Speed A/T,Red,Black,None reported,Yes,50999,10,4.888707822085889,1,0,Moderate
INFINITI,FX50 Base,2009,190120,Gasoline,390.0,7-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,12500,17,0.06574760284240036,0,1,Old
Ford,F-150 XLT,2020,92000,Gasoline,375.0,10-Speed A/T,Gray,Black,None reported,Yes,29999,6,0.3260725426897534,0,0,Moderate
Chevrolet,Camaro 2LT,2017,24000,Gasoline,335.0,6-Speed M/T,Yellow,Black,None reported,Yes,32000,9,1.3332777800924962,0,0,Moderate
RAM,1500 Big Horn,2020,25396,Gasoline,5.7,8-Speed Automatic,Maximum Steel Metallic,Black,None reported,Yes,43250,6,1.702957042170335,0,0,Moderate
Chevrolet,Silverado 2500 H/D,2001,167000,Gasoline,300.0,4-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,6500,25,0.03892192262321782,0,1,Very Old
RAM,1500 Laramie,2022,18645,Gasoline,5.7,Automatic,Diamond Black,Black,None reported,Yes,49700,4,2.665451035074547,0,0,New
Ford,Mustang V6,2016,54000,Gasoline,300.0,6-Speed A/T,White,Black,None reported,Yes,23999,10,0.44441769596859315,0,0,Moderate
Hyundai,Accent GL,2003,83000,Gasoline,104.0,M/T,Blue,Gray,None reported,Yes,2900,23,0.034939338080264094,0,0,Very Old
Audi,Q5 S line Premium Plus,2022,10071,Hybrid,2.0,Automatic,Mythos Black Metallic,Black,None reported,Yes,40598,4,4.0307783955520256,1,0,New
Ford,F-150 XLT,2021,43329,Gasoline,3.5,10-Speed Automatic,Carbonized Gray Metallic,Black,None reported,Yes,43642,5,1.0072005538887607,0,0,New
Lexus,RC F Base,2015,51400,Gasoline,467.0,8-Speed A/T,Silver,Gray,None reported,Yes,43000,11,0.836559600007782,1,0,Old
Chevrolet,Suburban 1500 LT,2015,153800,E85 Flex Fuel,355.0,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,23000,11,0.14954389113204725,0,1,Old
Dodge,Viper SRT-10,2003,10800,Gasoline,500.0,6-Speed M/T,Silver,Black,None reported,Yes,65499,23,6.0641607258587165,0,0,Very Old
RAM,1500 Laramie,2020,10458,Gasoline,5.7,8-Speed Automatic,Delmonico Red Pearlcoat,Black,None reported,Yes,48815,6,4.6672722057558085,0,0,Moderate
BMW,328 i,2014,84709,Gasoline,240.0,8-Speed A/T,Silver,Gray,None reported,Yes,13800,12,0.16290874749144138,1,0,Old
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,33500,Gasoline,385.0,9-Speed A/T,Red,Black,None reported,Yes,45770,7,1.3662278737948121,1,0,Moderate
BMW,M4 Base,2015,98000,Gasoline,425.0,Transmission w/Dual Shift Mode,Black,Orange,None reported,Yes,32999,11,0.3367210538667973,1,0,Old
BMW,750 i,2008,94653,Gasoline,360.0,A/T,Green,Green,At least 1 accident or damage reported,Yes,7300,18,0.0771229953303611,1,0,Old
Ford,Expedition Limited,2023,9281,Gasoline,440.0,A/T,Black,Black,None reported,Yes,85000,3,9.157509157509157,0,0,New
Chevrolet,Traverse Premier,2023,11806,Gasoline,310.0,9-Speed A/T,White,Black,None reported,Yes,47000,3,3.980689421529601,0,0,New
Cadillac,Escalade Platinum,2020,48613,Gasoline,420.0,A/T,Black,Black,At least 1 accident or damage reported,Yes,61500,6,1.2650676759781132,0,0,Moderate
RAM,3500 Tradesman,2023,2990,Diesel,400.0,A/T,White,Black,At least 1 accident or damage reported,Yes,69900,3,23.37011033099298,0,0,New
Audi,TT 1.8L,2005,124747,Gasoline,180.0,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,6900,21,0.05531150800012826,1,1,Very Old
RAM,1500 Big Horn,2021,24000,Hybrid,395.0,A/T,Silver,Black,None reported,Yes,42000,5,1.7499270863714012,0,0,New
Mazda,CX-7 Sport,2009,113000,Gasoline,244.0,6-Speed A/T,Gray,Black,None reported,Yes,5499,17,0.04866328616560915,0,1,Old
INFINITI,QX60 Base,2017,89106,Gasoline,295.0,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,18000,9,0.20200433187067235,0,0,Moderate
Ford,F-250 Platinum,2017,22000,E85 Flex Fuel,385.0,6-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,53000,9,2.408981409935912,0,0,Moderate
Jeep,Compass Limited,2022,20472,Gasoline,2.4,9-Speed Automatic,Red,Black,None reported,Yes,28298,4,1.3822107165535096,0,0,New
INFINITI,QX80 SENSORY,2023,8600,Gasoline,400.0,7-Speed A/T,Black,Brown,None reported,Yes,78990,3,9.18381583536798,0,0,New
Chevrolet,Silverado 1500 Limited LT Trail Boss,2022,4753,Gasoline,355.0,10-Speed A/T,White,Black,None reported,Yes,57000,4,11.989903239377366,0,0,New
Hyundai,Genesis Coupe 2.0T,2010,65000,Gasoline,210.0,A/T,Gray,Black,None reported,Yes,8900,16,0.1369209704466085,0,0,Old
Chevrolet,Camaro 1SS,2021,15000,Gasoline,455.0,6-Speed M/T,Blue,Gray,None reported,Yes,43500,5,2.8998066795546964,0,0,New
Audi,A6 3.0 TDI Premium Plus,2014,42400,Diesel,240.0,8-Speed A/T,Silver,Black,None reported,Yes,26500,12,0.6249852597816089,1,0,Old
Land,Rover Defender S,2023,15840,Gasoline,296.0,8-Speed A/T,White,Black,None reported,Yes,69900,3,4.412600214632914,1,0,New
Porsche,Cayenne S,2016,76200,Gasoline,420.0,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,42000,10,0.5511738691093293,1,0,Moderate
Chevrolet,Suburban Premier,2019,105667,Gasoline,355.0,6-Speed A/T,Black,Beige,None reported,Yes,39000,7,0.36908051633417877,0,1,Moderate
Chevrolet,Suburban Premier,2019,51338,Gasoline,355.0,6-Speed A/T,White,Black,None reported,Yes,49900,7,0.9719706266191395,0,0,Moderate
Dodge,Dart SE,2016,76857,Gasoline,160.0,M/T,Black,Black,At least 1 accident or damage reported,Yes,8100,10,0.10538915922870748,0,0,Moderate
Ford,F-250 Lariat,2019,80200,E85 Flex Fuel,385.0,A/T,White,Black,None reported,Yes,42500,7,0.5299185795688333,0,0,Moderate
Ford,Mustang GT,2014,38560,Gasoline,420.0,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,28500,12,0.7390887165789269,0,0,Old
Chevrolet,Corvette Stingray w/2LT,2020,12500,Gasoline,490.0,Transmission w/Dual Shift Mode,Yellow,Black,None reported,Yes,84999,6,6.799376049916007,0,0,Moderate
Hyundai,Genesis Coupe 3.8 Base,2016,45303,Gasoline,348.0,8-Speed A/T,White,Black,None reported,Yes,20999,10,0.463513155571252,0,0,Moderate
Ford,Focus ST Base,2014,110000,Gasoline,252.0,6-Speed M/T,Silver,Gray,None reported,Yes,9495,12,0.08631739711457169,0,1,Old
Cadillac,CTS Luxury,2011,66200,Gasoline,270.0,6-Speed A/T,Black,Black,None reported,Yes,16499,15,0.24922584250993188,0,0,Old
Subaru,Baja Base,2003,71000,Gasoline,165.0,5-Speed M/T,Red,Black,None reported,Yes,14900,23,0.20985619920846185,0,0,Very Old
Toyota,Highlander XLE,2019,81301,Gasoline,3.5,8-Speed Automatic,Black,Black,None reported,Yes,30275,7,0.3723770632948759,0,0,Moderate
Chevrolet,Corvette Stingray Z51,2019,7033,Gasoline,460.0,8-Speed A/T,White,Black,None reported,Yes,63900,7,9.08444697185101,0,0,Moderate
Dodge,Durango SRT,2020,36000,Gasoline,475.0,8-Speed A/T,Gray,Red,None reported,Yes,62000,6,1.7221743840448875,0,0,Moderate
Acura,TSX 2.4,2010,116000,Gasoline,201.0,6-Speed M/T,Silver,Black,At least 1 accident or damage reported,Yes,9000,16,0.07758553805570642,0,1,Old
Chevrolet,Camaro 2SS,2018,42780,Gasoline,455.0,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,41100,8,0.9607068558472219,0,0,Moderate
BMW,640 Gran Coupe i,2014,39886,Gasoline,315.0,Transmission w/Dual Shift Mode,Black,Red,At least 1 accident or damage reported,Yes,26000,12,0.6518414521021887,1,0,Old
Audi,S5 3.0T Premium Plus,2014,151400,Gasoline,333.0,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,15400,12,0.10171663331153691,1,1,Old
Alfa,Romeo Giulia Base,2017,48000,Gasoline,280.0,A/T,Red,Black,None reported,Yes,20500,9,0.42707443594925104,0,0,Moderate
Toyota,Highlander XLE,2023,8727,Gasoline,2.4,8-Speed Automatic,Ruby Flare Pearl,Black,None reported,Yes,44596,3,5.109532538955087,0,0,New
Rolls-Royce,Ghost Base,2011,79000,Gasoline,563.0,8-Speed A/T,Black,White,At least 1 accident or damage reported,Yes,80300,15,1.016442829837597,0,0,Old
Dodge,Challenger R/T,2020,54000,Gasoline,372.0,8-Speed A/T,Gray,Black,None reported,Yes,34000,6,0.6296179700375919,0,0,Moderate
Porsche,Cayenne Base,2016,110000,Gasoline,300.0,A/T,White,White,At least 1 accident or damage reported,Yes,25900,10,0.23545240497813658,1,1,Moderate
Chevrolet,Bolt EV LT,2020,49688,Gasoline,200.0,A/T,Blue,Gray,None reported,Yes,24900,6,0.5011169474129082,0,0,Moderate
Mercedes-Benz,Metris Base,2020,14000,Gasoline,208.0,7-Speed A/T,Black,Beige,None reported,Yes,48000,6,3.428326548103707,1,0,Moderate
Chevrolet,Silverado 1500 ZR2,2022,11597,Gasoline,6.2,Automatic,Silver Ice Metallic,Jet Black,None reported,Yes,68590,4,5.913950681151923,0,0,New
Mercedes-Benz,AMG S 63 Base 4MATIC,2017,86101,Gasoline,577.0,A/T,Gray,Red,At least 1 accident or damage reported,Yes,72777,9,0.8452416900884997,1,0,Moderate
Chevrolet,Silverado 1500 LT,2017,58816,Gasoline,5.3,6-Speed Electronically Controlled Automatic with O,Black,Jet Black,None reported,Yes,36590,9,0.6220990529948824,0,0,Moderate
Lexus,RC 350 Base,2016,77856,Gasoline,3.5,6-Speed Automatic,Atomic Silver,Black,None reported,Yes,30919,10,0.3971254993128428,1,0,Moderate
GMC,Acadia SLE-1,2015,115282,Gasoline,3.6,6-Speed Automatic,Crimson Red Tintcoat,Ebony,At least 1 accident or damage reported,Yes,12433,11,0.10784764449224951,0,1,Old
MINI,Cooper Base,2003,103726,Gasoline,115.0,5-Speed M/T,Red,Gray,At least 1 accident or damage reported,Yes,5995,23,0.05779594512518438,0,1,Very Old
Mazda,MX-5 Miata Sport,2008,39800,Gasoline,158.0,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,13250,18,0.33290620838672397,0,0,Old
Toyota,4Runner TRD Off Road,2019,79500,Gasoline,270.0,A/T,White,Black,None reported,Yes,33333,7,0.419277744934026,0,0,Moderate
Toyota,Highlander Limited,2008,165520,Gasoline,270.0,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,9000,18,0.05437376526241383,0,1,Old
BMW,650 Gran Coupe i,2014,92000,Gasoline,445.0,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,24000,12,0.2608667297094597,1,0,Old
Hyundai,Palisade Calligraphy,2023,1500,Gasoline,291.0,Transmission w/Dual Shift Mode,Green,Black,None reported,Yes,55000,3,36.64223850766156,0,0,New
Pontiac,Solstice GXP,2008,38100,Gasoline,260.0,5-Speed M/T,Orange,Black,None reported,Yes,19950,18,0.5236083042439831,0,0,Old
Land,Rover Range Rover Evoque SE Premium,2018,42125,Gasoline,237.0,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,38999,8,0.9257703081232493,1,0,Moderate
Porsche,Cayenne Diesel,2014,86818,Diesel,240.0,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,33500,12,0.3858602379663438,1,0,Old
BMW,M3 Competition xDrive,2023,3490,Gasoline,503.0,8-Speed A/T,Gray,Black,None reported,Yes,95580,3,27.378974505872243,1,0,New
Toyota,Avalon Limited,2008,111300,Gasoline,268.0,Transmission w/Dual Shift Mode,Gold,Beige,None reported,Yes,7900,18,0.07097869740613291,0,1,Old
BMW,M3 Base,2011,98200,Gasoline,414.0,7-Speed A/T,White,Black,None reported,Yes,27000,15,0.27494628364273277,1,0,Old
Porsche,Panamera Base,2018,42500,Gasoline,330.0,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,53999,8,1.2705348109456247,1,0,Moderate
Jeep,Wrangler Sport,2001,171000,Gasoline,181.0,5-Speed M/T,White,Black,At least 1 accident or damage reported,Yes,15000,25,0.08771878527026157,0,1,Very Old
Honda,Passport TrailSport,2023,11649,Gasoline,280.0,9-Speed A/T,Black,Black,None reported,Yes,39999,3,3.433390557939914,0,0,New
Mercedes-Benz,SL-Class SL 550,2013,24933,Gasoline,429.0,Transmission w/Dual Shift Mode,Silver,Red,At least 1 accident or damage reported,Yes,40250,13,1.6142616507580012,1,0,Old
Audi,RS 4 Base,2007,99769,Gasoline,420.0,6-Speed M/T,Gray,White,None reported,Yes,29995,19,0.30064147539340486,1,0,Old
Toyota,Avalon Limited,2022,16156,Gasoline,3.5,8-Speed Automatic,Blueprint,Graphite,None reported,Yes,39390,4,2.437952590208578,0,0,New
Mercedes-Benz,E-Class E 350 4MATIC,2008,67250,Gasoline,268.0,A/T,White,Beige,None reported,Yes,11900,18,0.1769490416499383,1,0,Old
GMC,Yukon Denali,2021,30022,Gasoline,420.0,A/T,Blue,Black,At least 1 accident or damage reported,Yes,74500,5,2.4814309029743864,0,0,New
Porsche,Panamera 4S,2017,42596,Gasoline,440.0,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,78000,9,1.8311148672441722,1,0,Moderate
Ford,Explorer XLT,2021,33705,Gasoline,2.3,10-Speed Automatic,White,Light Slate,At least 1 accident or damage reported,Yes,36995,5,1.0975790660416542,0,0,New
Land,Rover LR4 HSE LUX Landmark Edition,2016,63300,Gasoline,340.0,8-Speed A/T,White,Brown,None reported,Yes,31000,10,0.48972370104737684,1,0,Moderate
Acura,TLX Type S w/Performance Tire,2023,4700,Gasoline,355.0,10-Speed A/T,Red,Black,None reported,Yes,52000,3,11.061476281642204,0,0,New
Toyota,Tacoma Base,2020,27256,Gasoline,3.5,6 Speed At/Mt,Midnight Black Metallic,Black/Gun Metal,None reported,Yes,42998,6,1.577503026745423,0,0,Moderate
Hummer,H3 Base,2010,107481,Gasoline,239.0,A/T,White,Black,None reported,Yes,13500,16,0.1256024264528014,0,1,Old
Tesla,Model 3 Long Range,2018,61700,Gasoline,271.0,A/T,White,Black,None reported,Yes,25900,8,0.4197662922805141,1,0,Moderate
Jeep,Wrangler Unlimited Sahara,2017,128000,Gasoline,285.0,5-Speed A/T,Gray,Black,None reported,Yes,26800,9,0.20937336427059164,0,1,Moderate
Chevrolet,Camaro 2SS,2018,26000,Gasoline,455.0,8-Speed A/T,White,Black,None reported,Yes,39000,8,1.4999423099111573,0,0,Moderate
Audi,S6 4.0T,2015,74000,Gasoline,420.0,7-Speed A/T,Blue,Gray,None reported,Yes,29950,11,0.40472426048296645,1,0,Old
Audi,TT RS Base,2012,54900,Gasoline,360.0,6-Speed M/T,White,Brown,None reported,Yes,28900,14,0.5264020691790677,1,0,Old
INFINITI,QX56 Base,2012,141775,Gasoline,400.0,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,11500,14,0.08111386976639205,0,1,Old
Volkswagen,New Beetle GLS,2001,63250,Gasoline,115.0,4-Speed A/T,Yellow,Yellow,None reported,Yes,12000,25,0.18972032062734187,0,0,Very Old
Audi,Q5 S line Premium Plus,2022,13895,Hybrid,2.0,Automatic,Daytona Gray,Black,None reported,Yes,44998,4,3.2381980426021877,1,0,New
Ford,F-250 XL,2014,35900,E85 Flex Fuel,385.0,Transmission w/Dual Shift Mode,Blue,Gray,At least 1 accident or damage reported,Yes,27900,12,0.7771371270995237,0,0,Old
GMC,Yukon XL Denali,2022,48306,Gasoline,6.2,10-Speed Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,71999,4,1.4904465191380132,0,0,New
Audi,A4 2.0T Premium,2012,125000,Gasoline,211.0,8-Speed A/T,Black,Black,None reported,Yes,10500,14,0.08399932800537596,1,1,Old
Mazda,CX-30 Premium Package,2021,45303,Gasoline,2.5,6-Speed Automatic,Snowflake White Pearl,White / Brown,None reported,Yes,25382,5,0.5602595797280593,0,0,New
Lexus,ES 350 Base,2016,53900,Gasoline,268.0,A/T,Red,Beige,None reported,Yes,27500,10,0.5101946160553608,1,0,Moderate
Jeep,Wrangler Sahara,2008,54000,Gasoline,202.0,A/T,Green,Gray,None reported,Yes,20000,18,0.37036351178681876,0,0,Old
Chevrolet,Avalanche 1500 LTZ,2007,129000,Gasoline,366.0,A/T,White,Beige,None reported,Yes,17950,19,0.13914620816892892,0,1,Old
Jeep,Grand Cherokee L Laredo,2022,10232,Gasoline,3.6,Automatic,Diamond Black,Global Black,None reported,Yes,44646,4,4.36294341835239,0,0,New
Acura,MDX w/Advance Package,2023,3708,Gasoline,3.5,Automatic,White,Espresso,None reported,Yes,58998,3,15.906713399838232,0,0,New
Nissan,Pathfinder SL,2018,167000,Gasoline,284.0,A/T,Black,Beige,None reported,Yes,14500,8,0.08682582739025514,0,1,Moderate
Tesla,Model X Long Range,2019,37000,Gasoline,518.0,1-Speed A/T,Gray,Black,None reported,Yes,58000,7,1.567525202021567,1,0,Moderate
Subaru,Impreza Premium,2022,10419,Gasoline,2.0,Variable,Crystal White Pearl,Black,At least 1 accident or damage reported,Yes,24998,4,2.3990403071017274,0,0,New
Audi,A8 4.0T,2014,96238,Gasoline,420.0,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,22500,12,0.23379295296085786,1,0,Old
Subaru,Ascent Limited 7-Passenger,2022,12700,Gasoline,260.0,CVT Transmission,White,Beige,None reported,Yes,38500,4,3.0312573813085586,0,0,New
Porsche,Cayenne S,2015,124000,Gasoline,420.0,8-Speed A/T,White,Beige,None reported,Yes,25000,11,0.20161127732840864,1,1,Old
BMW,335 i,2009,123000,Gasoline,300.0,A/T,Purple,Black,None reported,Yes,15000,17,0.12195022804692644,1,1,Old
GMC,Sierra 1500 Limited Elevation,2022,24900,Gasoline,310.0,8-Speed A/T,Black,Black,None reported,Yes,49900,4,2.0039355849162686,0,0,New
Ford,Explorer Sport,2016,95500,Gasoline,365.0,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,20000,10,0.20942189087025267,0,0,Moderate
Lexus,LX 570 Three-Row,2021,48300,Gasoline,383.0,A/T,White,Red,None reported,Yes,82000,5,1.6976874184799486,1,0,New
BMW,M3 Base,2008,94000,Gasoline,414.0,6-Speed M/T,Gray,Red,None reported,Yes,25999,18,0.27658216401953173,1,0,Old
Nissan,Xterra Pro-4X,2011,183000,Gasoline,261.0,A/T,Black,Gray,At least 1 accident or damage reported,Yes,12000,15,0.06557341216714663,0,1,Old
Ford,Fusion Hybrid SE Hybrid,2013,126225,Hybrid,188.0,CVT Transmission,Silver,Black,At least 1 accident or damage reported,Yes,11500,13,0.09110642815267853,0,1,Old
Volkswagen,Golf GTI 2.0T SE 4-Door,2016,87892,Gasoline,210.0,6-Speed M/T,Gray,Black,None reported,Yes,16000,10,0.1820395253319377,0,0,Moderate
Cadillac,CTS-V Base,2012,45000,Gasoline,556.0,6-Speed A/T,Red,Black,None reported,Yes,41500,14,0.92220172885047,0,0,Old
Lexus,GX 460 Base,2015,106000,Gasoline,301.0,A/T,Black,Beige,None reported,Yes,37500,11,0.35377024745049573,1,1,Old
GMC,Acadia SLT-1,2019,51300,Gasoline,193.0,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,25500,7,0.4970663339895908,0,0,Moderate
Ford,Bronco Sport Big Bend,2021,30176,Gasoline,1.5,8-Speed Automatic,Black,Medium Dark Slate,None reported,Yes,28979,5,0.9603008914073632,0,0,New
Nissan,Titan SV,2021,27598,Gasoline,5.6,9-Speed Automatic,Black,Black,None reported,Yes,39884,5,1.4451248233631653,0,0,New
Volkswagen,Jetta SportWagen SE,2012,107000,Gasoline,170.0,A/T,Black,Beige,None reported,Yes,9499,14,0.0887748712628854,0,1,Old
Land,Rover Range Rover 5.0L V8 Supercharged,2019,17500,Gasoline,518.0,8-Speed A/T,Black,Black,None reported,Yes,65000,7,3.714073481515342,1,0,Moderate
RAM,2500 Laramie,2017,117878,Diesel,350.0,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,42000,9,0.35629755936171836,0,1,Moderate
Nissan,Murano SL,2010,138700,Gasoline,265.0,CVT Transmission,Gray,Black,At least 1 accident or damage reported,Yes,7000,16,0.050468273480364235,0,1,Old
Cadillac,Escalade ESV Base,2009,152068,E85 Flex Fuel,403.0,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,12350,17,0.08121313351176111,0,1,Old
BMW,428 i xDrive SULEV,2016,77000,Gasoline,240.0,Transmission w/Dual Shift Mode,White,Red,At least 1 accident or damage reported,Yes,26999,10,0.3506318099764938,1,0,Moderate
Ford,Focus RS Base,2017,26000,Gasoline,350.0,6-Speed M/T,Gray,Black,None reported,Yes,37000,9,1.4230221914541747,0,0,Moderate
Lexus,CT 200h Premium,2014,131200,Hybrid,134.0,A/T,Brown,Brown,None reported,Yes,14000,12,0.10670650376140425,1,1,Old
Buick,Enclave Leather,2017,83280,Gasoline,3.6,6-Speed Automatic,Quicksilver Metallic,Ebony,None reported,Yes,20599,9,0.2473433316122525,0,0,Moderate
BMW,M3 Base,2015,59000,Gasoline,425.0,6-Speed M/T,Gray,Black,None reported,Yes,53500,11,0.9067642921306418,1,0,Old
Volkswagen,Arteon 2.0T SEL R-Line,2020,15500,Gasoline,268.0,8-Speed A/T,Silver,Black,None reported,Yes,30000,6,1.9353590090961874,0,0,Moderate
BMW,X6 xDrive35i,2013,90000,Gasoline,300.0,8-Speed A/T,White,Red,None reported,Yes,19950,13,0.22166420373106965,1,0,Old
INFINITI,G35 Base,2006,94000,Gasoline,280.0,Transmission w/Dual Shift Mode,White,Gray,At least 1 accident or damage reported,Yes,10995,20,0.11696684077828959,0,0,Old
Hummer,H2 Base,2008,63750,Gasoline,393.0,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,55000,18,0.8627315649950589,0,0,Old
Mercedes-Benz,C-Class C 300 4MATIC Luxury,2011,95500,Gasoline,228.0,A/T,Black,Beige,At least 1 accident or damage reported,Yes,15990,15,0.167432801750767,1,0,Old
Acura,ILX Premium Package,2019,37900,Gasoline,201.0,A/T,White,Black,None reported,Yes,26000,7,0.6859977309305824,0,0,Moderate
RAM,1500 Longhorn,2019,76249,Gasoline,5.7,8-Speed Automatic,Diamond Black,Mountain Brown,At least 1 accident or damage reported,Yes,40995,7,0.5376393442622951,0,0,Moderate
BMW,M3 Base,2001,81000,Gasoline,333.0,6-Speed M/T,Blue,Gray,None reported,Yes,39000,25,0.4814755373390452,1,0,Very Old
Chevrolet,Suburban LT,2022,37806,Gasoline,355.0,10-Speed A/T,Black,Black,None reported,Yes,60894,4,1.6106541116724415,0,0,New
Dodge,Ram 2500 ST,2010,151544,Gasoline,355.0,5-Speed A/T,Brown,Gray,At least 1 accident or damage reported,Yes,17700,16,0.11679699099277442,0,1,Old
Chevrolet,Camaro 2SS,2012,60345,Gasoline,400.0,6-Speed A/T,Yellow,Black,None reported,Yes,26950,14,0.44659132336857454,0,0,Old
Dodge,Challenger SE,2010,90305,Gasoline,250.0,A/T,Gray,Black,None reported,Yes,12000,16,0.13288153611055745,0,0,Old
Jeep,Grand Cherokee L Limited,2022,13275,Gasoline,3.6,8-Speed Automatic,Velvet Red Pearlcoat,Global Black,None reported,Yes,42599,4,3.2087225067791505,0,0,New
Chevrolet,Camaro 2SS,2018,8660,Gasoline,455.0,8-Speed A/T,White,Black,None reported,Yes,45000,8,5.195704883962591,0,0,Moderate
Ford,F-350 Lariat,2021,28220,Diesel,475.0,10-Speed A/T,Silver,Black,None reported,Yes,73600,5,2.6079869600651997,0,0,New
Ford,F-250 King Ranch,2015,97700,Diesel,440.0,6-Speed A/T,Black,–,None reported,Yes,39950,11,0.40890062537742705,0,0,Old
